#SampleID	DateOfCollection	TimeOfCollection	Notes	City	Office	OfficeLocation	Row	Surface	TimePoint	TimePointCategory	Cooler
T1C.3.Dr.008	7/17/2013	10:57:00	DM   Touched Stem of Swab with glove	toronto	1	ceiling	3	drywall	008	2	3
T1F.3.Ca.008	7/17/2013	10:39:00	DM	toronto	1	floor	3	carpet	008	2	3
T1F.3.Ce.008	7/17/2013	10:39:00	DM	toronto	1	floor	3	ceiling	008	2	3
T1F.3.Dr.008	7/17/2013	10:39:00	DM	toronto	1	floor	3	drywall	008	2	3
T1W.3.Ca.008	7/17/2013	10:41:00	DM	toronto	1	wall	3	carpet	008	2	3
T1W.3.Ce.008	7/17/2013	10:41:00	DM	toronto	1	wall	3	ceiling	008	2	3
T1W.3.Dr.008	7/17/2013	10:42:00	DM	toronto	1	wall	3	drywall	008	2	3
T2C.3.Ca.008	7/17/2013	10:53:00	DM	toronto	2	ceiling	3	carpet	008	2	3
T2C.3.Ce.008	7/17/2013	10:53:00	DM	toronto	2	ceiling	3	ceiling	008	2	3
T2C.3.Dr.008	7/17/2013	10:53:00	DM	toronto	2	ceiling	3	drywall	008	2	3
T2F.3.Ca.008	7/17/2013	10:56:00	DM	toronto	2	floor	3	carpet	008	2	3
T2F.3.Ce.008	7/17/2013	10:56:00	DM	toronto	2	floor	3	ceiling	008	2	3
T2F.3.Dr.008	7/17/2013	10:56:00	DM	toronto	2	floor	3	drywall	008	2	3
T2W.3.Ca.008	7/17/2013	10:57:00	DM	toronto	2	wall	3	carpet	008	2	3
T2W.3.Ce.008	7/17/2013	10:57:00	DM	toronto	2	wall	3	ceiling	008	2	3
T2W.3.Dr.008	7/17/2013	10:57:00	DM	toronto	2	wall	3	drywall	008	2	3
T3C.3.Ca.008	7/17/2013	11:07:00	DM	toronto	3	ceiling	3	carpet	008	2	3
T3C.3.Ce.008	7/17/2013	11:07:00	DM	toronto	3	ceiling	3	ceiling	008	2	3
T3C.3.Dr.008	7/17/2013	11:08:00	DM	toronto	3	ceiling	3	drywall	008	2	3
T3F.3.Ca.008	7/17/2013	11:10:00	DM	toronto	3	floor	3	carpet	008	2	3
T3F.3.Ce.008	7/17/2013	11:10:00	DM	toronto	3	floor	3	ceiling	008	2	3
T3F.3.Dr.008	7/17/2013	11:10:00	DM	toronto	3	floor	3	drywall	008	2	3
T3W.3.Ca.008	7/17/2013	11:12:00	DM	toronto	3	wall	3	carpet	008	2	3
T3W.3.Ce.008	7/17/2013	11:12:00	DM	toronto	3	wall	3	ceiling	008	2	3
